,state,s20187,s20188,s20189,s201810,s201811,s201812,s20191,s20192,s20193,s20194,s20195,s20196,s20197,s20198,s20199,s201910,s201911,s201912,s20201,s20202,s20203,s20204,s20205,s20206,s20207,s20208,s20209,s202010,s202011,s202012,s20211,s20212,s20213,s20214,s20215,s20216,s20217,s20218,s20219,s202110,s202112,s20221,s20222,s20223,s20224,s20225,s20226,s20227,s20228,s20229,s202210,s202211,s202212,s20231,s20232,s20233,s20234,s20235,s20236,s20237,s20238,s20239,Latitude,Longitude
0,Ahmadabad,21.8375,20.015806451612907,12.309999999999999,4.8,2.9083333333333328,1.701290322580645,0.9035483870967742,0.9142857142857145,0.8593548387096772,0.7253333333333335,0.20451612903225802,8.041333333333332,21.71806451612903,27.717096774193553,30.235999999999997,21.02161290322581,16.799666666666667,9.447419354838711,8.207741935483872,7.871379310344828,7.755483870967741,7.805999999999999,7.257419354838709,19.902333333333335,24.478709677419353,27.721290322580643,25.400000000000002,15.09129032258065,11.121333333333332,10.41741935483871,8.74258064516129,7.481428571428572,6.310000000000002,7.655,15.22967741935484,20.616,22.229032258064517,17.108999999999998,27.494827586206892,23.614285714285717,17.867741935483867,13.974333333333332,11.363928571428572,10.119677419354836,9.297666666666666,7.977999999999999,12.952999999999998,26.398709677419358,26.114838709677418,22.470000000000002,16.24741935483871,10.76103448275862,9.668709677419354,9.449666666666666,9.418888888888889,12.251000000000003,10.398333333333335,11.262903225806452,17.627,27.84387096774194,16.81774193548387,14.754615384615384,23.0216238,72.5797068
1,Amreli,25.6325,18.802258064516128,10.318333333333332,3.614838709677419,2.527,1.8070967741935486,1.4051612903225807,1.383571428571429,1.2380645161290322,0.5,0.39290322580645154,8.502666666666666,28.85322580645162,30.959032258064514,34.059333333333335,27.746451612903225,21.78433333333333,12.457419354838708,13.341290322580644,13.917241379310344,13.727741935483872,14.049666666666669,14.301935483870968,27.18233333333334,30.000322580645165,33.0541935483871,32.452666666666666,23.403548387096773,18.325,17.764193548387098,16.287096774193547,14.850714285714286,10.764838709677422,14.817333333333334,21.070645161290326,25.078,27.297741935483874,23.83333333333333,30.355862068965514,28.142857142857142,20.33225806451613,18.19033333333333,17.0225,16.09548387096774,15.479000000000003,14.814666666666666,21.180333333333337,28.594838709677422,28.04354838709677,26.721333333333334,21.610322580645168,17.067586206896554,15.889354838709679,15.647999999999998,15.819629629629631,19.038333333333334,18.829666666666665,22.469354838709673,24.185666666666673,31.91387096774194,21.56322580645161,16.745384615384616,20.866667,70.75
2,Anand,25.372500000000002,21.351935483870967,13.817333333333332,6.760967741935483,4.7669999999999995,2.8283870967741938,1.5558064516129038,1.7835714285714286,2.434838709677419,2.028666666666667,0.9045161290322582,7.140333333333333,19.064516129032263,25.896451612903224,29.936,18.030645161290323,12.591333333333333,7.975483870967743,7.385806451612903,7.308275862068966,7.44258064516129,7.760999999999999,7.205483870967743,17.195666666666664,20.258387096774193,21.486129032258066,20.989666666666665,12.364193548387098,8.784333333333334,9.238709677419356,7.8832258064516125,7.151785714285715,6.521612903225806,7.139,12.623870967741938,18.721,19.504516129032258,13.675333333333333,24.34655172413793,20.97142857142857,11.263548387096774,8.699,7.8875,7.709354838709678,7.526999999999999,7.105333333333335,11.044999999999998,25.43354838709678,22.407096774193548,18.05,13.531290322580642,8.399310344827585,7.836129032258065,7.661333333333332,7.631111111111113,8.407333333333334,7.700666666666667,8.672903225806452,15.775666666666668,26.75,15.090322580645159,13.76923076923077,22.5586555,72.9627227
3,Arvalli,23.168750000000003,21.463225806451618,17.60333333333333,11.01806451612903,7.4333333333333345,4.974516129032258,3.701935483870969,3.755,4.0122580645161285,2.775333333333333,2.5609677419354844,13.975666666666667,23.435161290322576,29.029999999999994,31.092,21.03064516129032,18.274666666666672,12.262903225806454,11.108709677419355,10.865517241379312,10.873225806451616,11.148000000000003,10.46483870967742,20.353666666666665,24.862258064516126,23.410322580645154,25.32366666666667,15.638387096774192,12.815666666666667,13.087096774193547,12.989677419354836,11.9575,10.453548387096772,11.291,16.138064516129035,20.509333333333338,21.666451612903227,18.863333333333333,26.97034482758621,21.149285714285718,14.535161290322582,13.448,12.556785714285715,12.028064516129032,11.763333333333332,11.387,17.079666666666665,26.26870967741936,27.73548387096774,20.736333333333334,17.27935483870968,13.102413793103445,12.135483870967745,11.973666666666666,12.208148148148148,13.855666666666666,13.303,15.09774193548387,20.869333333333334,26.48870967741936,19.62870967741935,16.87461538461538,23.48345905,73.39881244097361
4,Banas Kantha,17.74875,17.51322580645161,12.809666666666663,7.121290322580646,5.719,3.6209677419354835,2.5222580645161297,2.5264285714285712,2.501935483870968,2.497333333333333,1.9641935483870967,8.326666666666668,17.139032258064514,23.47870967741936,25.280666666666665,17.05483870967742,16.07133333333333,10.640967741935485,7.977096774193549,7.58344827586207,7.6503225806451605,7.978333333333333,9.786451612903228,16.64466666666667,21.12870967741936,25.948387096774194,25.782999999999998,14.073225806451612,10.612666666666666,9.356451612903228,8.37258064516129,7.719999999999999,7.410645161290324,7.917666666666667,11.188709677419356,16.268666666666668,19.213225806451614,14.271333333333335,24.10379310344827,18.928571428571434,16.780967741935484,14.961000000000002,11.244285714285711,9.473548387096775,8.625333333333334,8.101999999999999,10.746333333333332,23.8358064516129,27.71193548387097,20.957999999999995,12.089032258064515,9.248965517241379,8.730322580645161,9.126000000000001,10.776666666666667,11.141333333333334,10.629666666666669,10.612580645161291,19.032666666666668,24.365161290322582,15.986451612903226,11.793076923076923,24.25,72.5
5,Bharuch,27.981250000000003,24.277741935483867,16.734666666666666,6.549032258064517,3.959333333333333,3.015806451612903,1.8658064516129031,1.9553571428571428,2.131612903225806,1.4483333333333333,0.8706451612903227,9.528333333333332,29.54967741935484,29.159999999999993,32.538999999999994,24.47967741935484,20.949,12.552580645161292,11.368064516129033,11.277586206896553,11.334193548387097,11.400666666666664,10.76451612903226,21.78766666666667,26.130967741935486,29.485806451612905,28.94666666666667,19.711612903225806,14.662333333333335,17.171612903225807,15.540967741935484,13.356785714285715,10.049677419354841,12.592333333333332,17.973225806451612,24.128666666666668,25.630000000000003,22.72166666666667,30.89965517241379,27.971428571428568,21.80483870967742,17.19066666666667,15.224642857142856,13.930322580645162,13.239666666666668,12.596666666666668,16.548333333333332,30.434838709677408,28.200322580645164,26.37833333333333,21.623548387096772,15.053793103448275,13.688387096774193,13.429999999999998,13.382962962962964,14.398666666666665,13.56366666666667,14.310967741935483,18.361333333333334,30.826129032258066,20.898709677419355,19.85692307692308,21.7080427,72.9956936
6,Bhavnagar,25.185000000000002,21.385483870967743,13.2,4.228064516129032,2.8473333333333333,2.626129032258064,2.1951612903225803,2.1489285714285713,1.9735483870967745,0.8546666666666669,0.8661290322580646,7.165666666666666,30.669032258064515,31.43290322580645,34.818333333333335,26.88193548387096,19.736333333333334,11.392580645161287,11.878709677419351,12.023448275862068,12.006129032258066,12.360666666666667,11.903548387096771,26.235999999999994,29.158709677419356,31.882580645161287,31.59366666666667,20.02967741935484,15.281666666666666,14.901290322580644,13.075806451612902,11.547500000000001,8.602580645161291,11.632666666666665,18.43967741935484,22.654999999999994,23.259354838709676,18.934666666666665,28.044482758620692,25.465000000000003,20.031290322580645,16.296,14.532857142857145,13.291935483870967,12.465666666666666,11.528666666666668,15.136,25.949032258064516,25.20774193548387,23.446333333333328,19.242580645161294,14.119310344827586,12.908709677419356,12.655666666666667,12.58,15.280999999999999,14.547666666666665,16.76774193548387,21.962666666666664,28.91967741935484,18.403548387096773,15.774615384615386,21.7718836,72.1416449
7,Botad,20.471249999999998,18.850322580645162,10.591333333333335,3.2503225806451614,2.263666666666667,1.3451612903225805,0.8093548387096776,0.7949999999999999,0.6932258064516131,0.255,0.1903225806451613,5.487333333333334,24.453548387096774,27.347096774193552,30.394999999999996,23.711612903225802,19.05433333333333,10.792903225806453,11.258064516129032,11.346206896551724,11.154516129032261,11.325666666666667,10.64322580645161,25.339666666666666,26.961935483870967,29.715806451612902,28.002333333333336,19.127419354838707,15.175666666666668,14.788064516129031,13.159032258064519,11.83107142857143,8.927096774193549,12.406,20.40354838709677,23.243666666666666,24.490000000000002,19.938333333333333,27.893793103448278,25.640000000000004,19.06967741935484,16.70266666666667,15.358214285714286,14.390645161290323,13.72166666666667,12.190666666666669,17.361,26.948387096774198,26.006451612903227,23.718666666666667,18.367096774193556,14.857241379310345,14.16032258064516,14.103999999999996,14.117407407407406,18.866666666666667,17.291333333333334,19.488064516129032,21.171333333333333,29.93258064516129,18.55516129032258,16.63153846153846,22.1686,71.6685
8,Chhotaudepur,27.9725,25.21741935483871,17.263666666666666,9.003870967741934,5.502,4.1174193548387095,3.5006451612903215,3.4899999999999993,3.156451612903226,1.43,1.2267741935483873,11.011666666666667,29.685483870967737,30.813225806451605,33.114666666666665,26.126451612903228,24.172000000000004,14.941935483870969,13.32806451612903,13.067586206896554,13.097741935483873,13.919666666666668,12.99548387096774,24.730666666666664,27.290000000000003,30.127096774193546,29.655333333333335,21.31387096774193,17.002333333333333,19.726451612903222,18.950967741935486,16.603214285714287,13.076774193548387,15.799666666666665,18.289677419354838,22.808000000000003,28.52870967741935,27.31933333333333,31.025517241379312,27.98785714285714,23.828064516129032,20.354333333333333,18.58142857142857,16.605483870967742,15.884333333333332,15.640999999999998,19.34666666666667,29.520967741935483,29.926129032258064,26.358000000000004,23.08,17.371379310344828,16.300645161290323,16.022333333333336,15.873333333333331,17.084666666666667,16.354,18.2358064516129,22.08566666666667,30.99129032258065,25.366774193548384,24.500000000000004,22.3148736,74.0141067
9,Dang,19.0875,24.26451612903226,16.378,13.757096774193547,9.744666666666665,8.11741935483871,7.477096774193546,7.380357142857142,7.223548387096773,6.550000000000001,6.562258064516131,13.488999999999999,21.61161290322581,23.888709677419353,29.412999999999997,24.98612903225806,19.041,11.688709677419354,8.110645161290323,7.536206896551724,7.530967741935485,7.639333333333331,7.467419354838709,19.476333333333333,20.940967741935484,24.67870967741936,27.833666666666666,17.848064516129032,12.437000000000001,14.44774193548387,14.956129032258065,11.264285714285714,8.555806451612904,8.419,11.83548387096774,17.870333333333335,19.601935483870967,18.52466666666667,22.38586206896552,22.3,16.63032258064516,11.560333333333334,9.704285714285716,8.553548387096773,8.388333333333334,8.344666666666667,15.348666666666665,22.891612903225802,23.473225806451612,22.590333333333334,17.245483870967742,11.207241379310345,9.237741935483871,8.572000000000001,8.333333333333334,12.808,13.129333333333332,14.068709677419356,17.35433333333333,25.220645161290328,26.496774193548383,22.720000000000002,20.788171849999998,73.70920325426432
